net,length_um
_3957_,169.35
_3393_,168.48
_2021_,167.17
_3385_,167.13
_2977_,165.87
_3037_,163.73
net28,163.62
_1113_,162.81
_3397_,162.6
_1099_,162.06
_1065_,161.32
_1593_,160.905
_1349_,159.22
_2986_,159.22
_3921_,159.03
_3375_,159
net84,158.5
_2234_,158.35
clknet_leaf_106_CLK,158.19
_1401_,157.75
_1756_,156.94
_3123_,156.9
_1305_,156.22
_2001_,155.92
_2434_,154.76
_4173_,154.6
_2029_,154.035
net6,153.74
_1415_,153.61
_2970_,152.13
_1303_,151.94
clknet_leaf_66_CLK,151.35
_3403_,151.28
_1609_,151.02
_3422_,150.46
_2216_,150.02
_1507_,149.55
_1737_,149.54
_3885_,148.46
_3063_,148.32
_3848_,148
_3058_,146.86
_3373_,146.44
_3666_,146.14
_1792_,145.14
_2340_,143.95
_3391_,143.56
_3629_,143.12
_3993_,142.78
_3448_,142.4
net16,142.14
_3031_,142.1
_3029_,141.58
_3025_,141.4
_3012_,141.24
_3044_,140.72
_2994_,139.84
_1700_,139.79
_4029_,139.72
_3008_,139.42
net26,139.39
_2485_,137.785
_3021_,137.77
_2198_,137.5
_3065_,137.26
_3371_,136.5
_1926_,136.37
_3433_,135.56
_3383_,135.5
_3399_,134.63
_4101_,134.58
_3428_,134.56
_3401_,133.94
_3033_,133.32
_1333_,133.16
net27,133.04
_3435_,132.03
_2982_,131.54
_3023_,131.34
_3039_,131.3
_1772_,131.06
_2276_,130.05
_3010_,129.56
net18,129.5
_2445_,129.43
_1564_,129.42
net45,127.99
_3042_,127.98
_1649_,127.935
_4137_,127.58
clknet_leaf_83_CLK,127.32
_3437_,127.18
_3088_,126.94
_2050_,126.75
_1699_,126.69
_3414_,126.66
_3027_,126.42
net29,126.15
_3379_,125.76
_3061_,125.68
_3377_,125.54
_3014_,125.35
_3075_,125.02
_3046_,124.82
_3416_,124.44
_4065_,124.34
_3195_,124.18
_3105_,123.88
_3067_,123.8
_3119_,122.97
_2447_,122.62
_1830_,122.43
_3405_,121.88
_3812_,120.54
_3424_,120.14
_3111_,120.065
_3073_,119.47
_3420_,119.16
_1270_,118.72
net10,118
_2197_,117.92
_3098_,117.16
_3269_,116.9
_2027_,116.33
_2420_,115.77
_3121_,115.65
_3107_,115.5
_3231_,115.5
clknet_leaf_29_CLK,114.52
_3776_,113.48
clknet_leaf_1_CLK,113.18
_3084_,112.48
_2569_,112.42
clknet_leaf_12_CLK,111.9
_3086_,111.38
_2026_,110.92
net15,110.55
_3426_,110.36
_3387_,108.84
_3092_,108.76
net9,108.72
_3035_,108.52
_2044_,108.5
clknet_leaf_24_CLK,108.4
_3082_,107.79
_3100_,107.51
clknet_leaf_13_CLK,107.48
clknet_leaf_48_CLK,107.36
_1255_,106.9
clknet_leaf_65_CLK,106.5
_1223_,105.82
_1789_,105.78
_2003_,105.76
_3069_,105.6
_1516_,105.22
_2051_,104.86
_3103_,104.84
_1174_,104.34
net56,104.3
_2028_,104.2
_2714_,104.18
_3117_,104.13
_3430_,104.12
clknet_leaf_33_CLK,104.1
clknet_leaf_91_CLK,103.89
_2366_,103.22
clknet_leaf_78_CLK,103.14
_3418_,103.08
_2292_,102.89
_3113_,102.72
_3071_,102.66
_3096_,102.28
_3056_,101.74
_2111_,101.67
clknet_leaf_35_CLK,101.56
net7,101.36
clknet_leaf_96_CLK,101.04
_2443_,100.71
clknet_leaf_4_CLK,100.02
clknet_leaf_67_CLK,99.49
clknet_leaf_93_CLK,98.5
clknet_leaf_77_CLK,97.84
net39,97.36
clknet_leaf_84_CLK,97.3
_2547_,97.06
_2446_,96.72
clknet_leaf_28_CLK,96.3
clknet_leaf_69_CLK,96.28
net47,96.2
_3090_,95.48
clknet_leaf_56_CLK,94.9
clknet_leaf_10_CLK,94.14
_1416_,93.94
_3109_,93.48
_2022_,93.225
clknet_leaf_7_CLK,93.18
_2025_,93.03
clknet_leaf_0_CLK,92.88
clknet_leaf_55_CLK,92.58
_1271_,92.19
_2980_,91.6
_1432_,91.58
clknet_leaf_15_CLK,91.41
clknet_leaf_40_CLK,90.88
_1383_,90.64
_2207_,90.64
_2759_,90.54
clknet_leaf_16_CLK,90.5
_2421_,90.18
_1111_,90.12
_2535_,90.06
