net,length_um
_1168_,658.93
_1158_,644.375
_3922_,626.15
_1842_,619.22
_2978_,616.42
_4030_,604.21
_4113_,598.36
clknet_0_CLK,595.97
_3460_,592.42
_3958_,587.84
_3667_,586.63
_3994_,581.925
_3160_,579.81
_3689_,575.71
_3449_,572.85
_4102_,571.71
_3849_,571.39
_1604_,558.74
_3630_,556.2
_1075_,553.255
_3594_,551.845
_3101_,549.39
_3886_,546.375
_1586_,544.1
_3558_,543.39
_3705_,534.97
_3777_,534.19
_1618_,530.065
_3059_,525.56
_3716_,522.93
_1634_,522.39
_1159_,521.87
_1635_,520.56
_1845_,518.29
_3813_,517.89
_3616_,513.195
_3871_,509.025
_1062_,507.48
_3580_,505.19
_4041_,504.56
_4066_,503.9
_1126_,503.155
_3908_,501.9
_4222_,499.995
_3040_,498.14
_3727_,495.4
_1027_,494.84
_4138_,492.32
_1643_,490.155
_1029_,489.9
_3471_,488.93
_4052_,486.53
_1034_,486.43
_3652_,482.89
_3232_,482.02
_3171_,480.64
_1049_,479.455
_3860_,478.19
_1611_,476.87
_3944_,476.8
_3763_,476.24
_4174_,474.26
_4088_,473.9
_4124_,473.5
_3569_,473.3
_3980_,472.795
_3605_,472.5
_3270_,472.08
_3182_,468.47
_1077_,467.56
_1121_,467.45
_1041_,467.3
_1863_,466.62
_1106_,466.52
_4016_,466.42
_1173_,465.77
_1186_,462.75
_1188_,461.975
_4211_,461.58
_1039_,461.365
_3799_,461.29
_1605_,460.95
_1636_,459.145
_3532_,456.75
_3507_,455.32
_3897_,455.1
_3410_,454.36
_3933_,453.26
_1886_,451.4
_3318_,450.2
_3788_,449.77
_3641_,448.82
_3824_,447.98
_1587_,446.82
_3835_,446.22
_4160_,445.285
_3281_,443.95
_1059_,443.91
clknet_3_6__leaf_CLK,443.11
_3196_,441.64
_3218_,439.505
_1865_,437.9
_1033_,435.82
_4005_,433.55
clknet_3_5__leaf_CLK,432.3
_1675_,431.13
_4077_,429.7
_3080_,428.8
_3019_,428.18
_1042_,427.68
_1061_,427.06
_1603_,426.79
_3292_,426.48
_2030_,423.68
_1997_,422.44
_3678_,421.02
_1854_,420.68
_3243_,420.26
clknet_3_0__leaf_CLK,420.22
_4196_,420.095
_3355_,418.96
_1133_,418.26
_1860_,417
_3254_,404.77
_1069_,400.43
_1858_,400.27
_1614_,398.95
_2998_,398.66
_1110_,397.1
clknet_3_3__leaf_CLK,395.73
_1118_,394.13
_3207_,392.08
_1884_,391.61
_1141_,391.5
_3969_,390.835
_1642_,389.83
_3496_,389.07
_3329_,388.44
_1681_,387.9
_1116_,386.23
_2157_,385.37
clknet_3_4__leaf_CLK,381.86
_4149_,381.48
_1644_,381.06
clknet_3_1__leaf_CLK,379.54
net82,379.52
_1847_,378.1
_3344_,377.04
_3389_,376.54
_1844_,376.05
_1585_,375.47
_1857_,373.69
_3752_,371.87
_1117_,370.12
_1025_,368.41
_1964_,367.83
_1850_,367.03
_1598_,364.96
_1612_,363.42
_1358_,362.66
_4185_,361.78
_1864_,360.97
_1130_,360.18
_1129_,359.78
_1272_,355.895
_1947_,353.28
_1980_,353.1
_1619_,351.68
_2140_,350.72
CLK,348.71
_1617_,347.065
_3307_,345.17
_1948_,341.31
_1622_,341.29
_3521_,341.16
_1625_,339.09
_1308_,338.71
_1163_,338.19
_1281_,336.935
_3543_,335.56
net5,335.525
_1595_,334.645
_3431_,333.44
_1597_,332.39
_1050_,331.86
_1164_,330.94
_1128_,329.26
_3741_,327.65
clknet_3_7__leaf_CLK,321.96
_1052_,321.37
_1161_,318.17
_1610_,317.88
net3,317.53
_1942_,317.11
_1624_,316.055
_3388_,314.59
_1134_,314.255
net98,311.32
_1328_,310.71
_2175_,310.11
_1165_,310.04
_1302_,309.52
_1626_,309.49
_1848_,309.13
_1205_,309.07
_1835_,308.46
clknet_3_2__leaf_CLK,307.38
_1637_,306.68
_1026_,304.59
_3366_,303.88
_1885_,303.73
_1883_,303
_1028_,301.26
_1068_,301.03
_1284_,299.78
_3520_,299.39
_1589_,299.06
_1343_,298.28
_1327_,297.84
_1851_,296.01
_1590_,295.15
_1549_,293.1
_1342_,292.86
_1357_,291.14
_1296_,290.775
_1135_,290.7
_1176_,287.97
_1911_,287.39
_1082_,286.03
_1084_,283.81
net88,283.44
_1678_,282.84
_1229_,282.26
_1628_,281.56
_1046_,281.12
_2087_,280.92
_3485_,280.5
_1663_,280.47
_1859_,279.87
_1282_,278.59
_3740_,278.22
_3343_,278.09
_1674_,276.875
_1316_,276.08
_1094_,272.95
_3484_,272.71
_2997_,271.9
_1646_,271.12
_1680_,270.84
net1126,270.08
_1230_,269.61
_1599_,268.21
_1682_,265.45
_1684_,265.03
_1044_,263.06
_2253_,262.12
_2067_,260.77
_1676_,259.91
_1834_,259.55
_1175_,258.975
_1262_,255.68
_1304_,254.79
_1533_,254.74
_1045_,254.625
_1677_,253.45
_3077_,253.31
_1592_,252.67
_1143_,247.76
_3306_,244.39
_3002_,242.88
_1696_,241.14
_1878_,240.63
_1621_,238.33
_2271_,237.91
_1846_,235.82
_1063_,235.65
_3016_,234.16
_1083_,232.34
_1185_,230.93
_1053_,229.68
_1683_,229.14
_1322_,225.86
_1716_,224.73
_2192_,223.28
_1499_,222.61
_1483_,222.54
_1808_,216.54
_1051_,216.32
_1591_,212.16
_2083_,211.31
_3407_,210.46
_1613_,210.12
_1273_,209.96
_1275_,208.96
_1594_,208.87
_1849_,207.96
_1588_,207.37
_1055_,207.24
_3395_,205.3
_1669_,204.99
_2103_,204.72
_1043_,203.32
_1274_,203.01
_1467_,202.06
_3018_,201.29
_1679_,200.85
_1627_,199.6
_3006_,199.44
_2988_,199.32
_1668_,196.84
_3409_,196.6
_1093_,196.31
_1868_,195.95
_1276_,195.33
_1450_,194.45
A2[0],193.33
_1451_,192.82
_1228_,191.99
_1187_,191.91
_1648_,190.72
net8,190.58
_1623_,189.01
_1584_,188.89
_1596_,186.94
_1891_,185.36
_1738_,185.09
_1629_,184.86
_1667_,184.4
_1293_,184.14
_3159_,184.14
_1115_,183.39
_3000_,182.86
_2049_,182.32
_1315_,182.06
_1831_,181.555
_1105_,178.24
_1189_,177.15
_2992_,176.96
A2[1],174.8
_1600_,174.68
_2977_,174.29
_1090_,173.7
_3381_,173.56
_3058_,173.55
_3957_,173.35
_2984_,172.96
_2000_,172.66
_2990_,172.2
_3037_,171.85
_3385_,170.35
_2021_,169.8
net28,169.42
_2120_,169
_3921_,168.7
_2001_,168.42
net93,168.42
_1065_,167.08
_3393_,166.62
_1349_,165.46
_1593_,164.88
_3397_,164.8
_3004_,164.7
_1303_,162.71
_1099_,162.52
_1113_,161.88
_2029_,161.34
_1401_,160.8
_1737_,159.8
_2234_,158.35
clknet_leaf_106_CLK,158.19
_2970_,156.81
_2434_,156.49
net6,155.6
_3375_,155.48
_3848_,155.23
_3123_,155.2
_3063_,153.17
_4173_,151.86
_1792_,150.94
_1305_,150.51
_1507_,150.47
_3666_,150.2
_1756_,150.09
_2216_,149.83
_3039_,149.64
_2986_,149.52
_3422_,149.3
clknet_leaf_66_CLK,149.3
_3403_,148.96
_3993_,148.69
_3391_,148.33
_3629_,147.47
_2340_,147.03
_1415_,146.92
net26,145.66
_3448_,145.12
_3399_,143.84
_3371_,142.99
_1609_,142.78
_3031_,142.52
_1772_,141.84
_3029_,141.84
_3885_,141.8
_3021_,141.37
_2198_,141.19
_3428_,140.96
_3044_,140.21
_1700_,140.14
_3065_,139.66
_2994_,139.58
net16,139.38
_3008_,138.9
_3025_,138.8
_4029_,137.17
_1926_,136.02
_2276_,134.93
_2485_,134.43
_2982_,133.82
_3195_,133.68
_3401_,133.4
_3014_,133.2
_4137_,133.18
_3033_,132.98
net27,132.38
_3383_,131.62
_3023_,131.4
_1333_,131.21
_3373_,130.38
_3414_,130.26
_3012_,129.23
_4101_,129.2
_1564_,129.08
_3437_,128.76
net18,128.58
_3042_,128.46
_1649_,128.1
clknet_leaf_83_CLK,127.78
_3088_,127.5
net45,127.31
_2445_,126.56
_3105_,126.32
_3377_,125.9
_2447_,125.8
_3424_,125.72
_3405_,125.58
_3379_,125.3
_3433_,125.16
_3416_,124.12
_4065_,123.42
_3075_,123.41
_3067_,122.68
_3073_,122.21
_3010_,122.11
_3269_,121.7
clknet_leaf_12_CLK,121.54
net29,121.51
_3061_,121.32
_1830_,121.3
_3027_,121.08
_3435_,120.83
_2027_,120.1
_3387_,119.82
_3111_,118.72
_3084_,118.58
_3119_,118.2
net10,118.1
_2050_,117.48
_3046_,117.03
_2026_,116.56
_3098_,116.52
_2420_,116.14
_1270_,116
_3420_,115.94
net9,115.74
_3426_,114.98
net15,114.35
_3231_,114.02
_3812_,113.76
clknet_leaf_1_CLK,113.64
_3100_,113.52
_3117_,113.48
clknet_leaf_29_CLK,113.04
_1255_,112.53
net56,112.36
_2569_,111.96
_2197_,111.75
clknet_leaf_24_CLK,110.96
_3121_,110.88
_1416_,110.08
_3035_,109.66
_3107_,109.66
_3069_,108.66
_3430_,108.47
_3086_,107.62
_3418_,107.395
_2044_,106.66
clknet_leaf_48_CLK,106.44
_3103_,106
_1223_,105.98
clknet_leaf_65_CLK,105.88
_3071_,105.86
_2111_,105.26
_3096_,105.06
_2051_,104.74
_3776_,104.64
_3092_,103.76
_2292_,102.89
_3082_,102.875
