net,length_um
_1139_,491.55
_0799_,458.16
_1138_,449.95
_0865_,449.675
_0961_,441.29
_1009_,440.92
_1148_,439.23
_1223_,397.035
clknet_2_2__leaf_clk,383.07
clknet_2_0__leaf_clk,377.12
_1239_,372.845
clknet_2_1__leaf_clk,372.14
_0866_,367.78
_0867_,361.035
_1224_,360.83
_0798_,355.06
_1221_,352.675
_2450_,351.5
clknet_2_3__leaf_clk,349.3
_2484_,345.01
_1149_,342.44
_0885_,339.73
_0886_,333.585
_0884_,330.805
_0878_,327.83
_1245_,326.67
clknet_0_clk,322.51
_1252_,317.75
_2466_,316.74
_1241_,315.235
_1233_,313.36
_0830_,312.05
_1993_,312.01
_1225_,308.56
_2485_,307.76
_0839_,307.71
_2462_,307.44
_0807_,306.55
_2336_,306.02
_0864_,305.975
_2445_,303.32
_1254_,302.775
_0844_,301.43
_0863_,301.14
_0816_,300.44
_2279_,298.79
_0845_,298.07
_0868_,296.51
_2474_,295.77
_0862_,294.045
_1229_,293.75
_1217_,292.63
_1220_,290.565
_0841_,289.19
_1264_,287.89
_1238_,287.18
_1222_,287.02
_2160_,285.425
_0815_,285.11
_2448_,284.91
_0876_,282.99
_0879_,282.82
_0860_,281.58
_2073_,280.86
_0810_,280.825
_2444_,280.79
_1237_,278.955
_0909_,274.05
_2475_,273.87
_0853_,273.72
_0855_,273.465
_2301_,271.61
_2476_,269.5
_1257_,264.4
_2439_,263.41
_0817_,263.22
_0813_,262.58
_1243_,262.12
_1232_,259.61
_2473_,259.55
_2456_,259.175
_2138_,253.2
_2325_,250.14
_2465_,249.24
_0901_,248.105
_0883_,247.67
_0856_,247.59
_2443_,247.56
_2460_,247.06
_2449_,245.65
_1216_,245.57
_1228_,245.495
_0887_,244.965
_1240_,244.455
_0828_,239.77
_2464_,239.26
_2124_,237.88
_1218_,237.58
_2149_,236.54
_2137_,236.14
_1219_,233.94
clk,233.77
_0795_,233.595
_2472_,231.6
_0874_,231.425
_0814_,229.37
_2470_,228.93
_0873_,228.225
_1231_,225.82
_2469_,225.77
_2222_,223.18
_2480_,222.52
_0837_,222.36
_1340_,222.13
_0875_,221.775
_2459_,220.07
_0829_,218.14
_2440_,217.64
_0797_,217.34
_2314_,215.5
_2290_,215.32
_1247_,214.39
_0854_,214.3
_0811_,214.165
_2102_,213.24
_2360_,213.12
_2467_,213.12
_2468_,212.485
_1244_,211.32
_2479_,210.77
_0880_,208.84
_2113_,208.4
_2233_,201.92
_0812_,200.51
_0836_,200.505
_0809_,199.72
_2371_,199.09
_1008_,197.98
_1010_,196.735
_2278_,188.32
_2349_,187.64
_2471_,186.52
_1953_,184.73
_0871_,182.16
_2458_,180.85
_1270_,180.45
_2482_,179.24
_2454_,177.14
_2481_,177.14
net2,176.455
_0838_,176.025
RF0.regs\[4\]\[0\],174.74
_1047_,173.55
_1227_,169.18
_1577_,168.68
_2455_,168.235
_2211_,167.34
_0877_,167.28
_1246_,165.17
_0843_,159.05
_0835_,156.17
_2438_,155.58
_1054_,150.54
_1258_,146.53
_1263_,143.71
_1045_,142.56
_1007_,141.44
_2483_,141.44
_1236_,140.7
_0834_,137.76
RF0.regs\[15\]\[23\],137.415
_2477_,136.56
RF0.regs\[4\]\[23\],134.84
net24,134.79
_0827_,134.39
_2435_,132.26
_2452_,131.53
_0917_,129.87
_0914_,129.39
_0882_,128.26
clknet_leaf_11_clk,126.4
clknet_leaf_13_clk,125.24
_0826_,124.88
clknet_leaf_7_clk,123.48
_2088_,122.77
_2446_,122.44
_1042_,121.21
clknet_leaf_38_clk,119
clknet_leaf_41_clk,116.88
clknet_leaf_35_clk,116.62
_2099_,115.97
_1226_,115.88
_1052_,114.74
clknet_leaf_45_clk,114.2
RF0.regs\[5\]\[25\],113.52
_0842_,112.62
net47,112.57
reset,111.92
RF0.regs\[15\]\[25\],111.445
net65,111.43
clknet_leaf_0_clk,111.38
clknet_leaf_28_clk,111.21
_2442_,111.16
RF0.regs\[4\]\[17\],111.1
RF0.regs\[4\]\[22\],110.54
clknet_leaf_6_clk,110.5
clknet_leaf_18_clk,109.93
_0794_,108.945
_2005_,107.62
_1230_,107.24
RF0.regs\[15\]\[27\],106.32
clknet_leaf_32_clk,106.1
_0919_,106.02
_2077_,105.335
clknet_leaf_1_clk,105.145
clknet_leaf_37_clk,105.14
_2072_,103.98
_0999_,103.48
_1108_,103.02
_2080_,102.82
_2012_,102.26
_2066_,101.4
RF0.regs\[4\]\[16\],100.34
clknet_leaf_43_clk,100.01
_1277_,99.7
_1971_,99.7
_0931_,99.42
clknet_leaf_22_clk,98.78
RF0.regs\[15\]\[21\],98.675
RF0.regs\[5\]\[23\],97.04
RF0.regs\[4\]\[5\],96.91
_2090_,96.91
RF0.regs\[4\]\[18\],96.74
RF0.regs\[4\]\[21\],96.12
_0926_,95.93
RF0.regs\[4\]\[9\],95.82
_2441_,95.58
_1074_,95.1
clknet_leaf_34_clk,95.1
clknet_leaf_42_clk,95.1
RF0.regs\[4\]\[27\],95.05
_2092_,94.73
_2486_,94.62
_2086_,93.89
RF0.regs\[4\]\[3\],93.34
clknet_leaf_16_clk,92.72
RF0.regs\[10\]\[3\],92.11
RF0.regs\[5\]\[22\],91.985
_0935_,91.98
_1082_,91.66
clknet_leaf_33_clk,91.26
clknet_leaf_30_clk,91.21
clknet_leaf_23_clk,90.5
clknet_leaf_8_clk,90.32
RF0.regs\[4\]\[20\],90.07
_0937_,89.96
RF0.regs\[4\]\[2\],89.88
RF0.regs\[15\]\[3\],89.795
_2083_,89.62
RF0.regs\[5\]\[17\],89.54
_2488_,88.28
RF0.regs\[4\]\[19\],87.84
_1004_,87.64
_2461_,87.6
_1251_,86.375
_2177_,86.14
_1978_,86.02
RF0.regs\[4\]\[4\],85.83
RF0.regs\[10\]\[23\],85.6
_1040_,85.44
_2421_,85.4
RF0.regs\[4\]\[24\],85.18
clknet_leaf_19_clk,85.04
_1992_,84.5
_1102_,84.36
RF0.regs\[4\]\[13\],84.02
_0825_,83.91
clknet_leaf_3_clk,83.9
RF0.regs\[4\]\[1\],83.16
clknet_leaf_10_clk,82.94
_1072_,82.47
_1996_,81.76
_1986_,81.54
clknet_leaf_12_clk,80.74
net26,80.4
_1933_,79.86
RF0.regs\[4\]\[11\],79.68
clknet_leaf_26_clk,79.2
_1005_,79.08
net23,79
RF0.regs\[10\]\[21\],78.58
RF0.regs\[15\]\[17\],78.155
_1137_,77.38
_0852_,77.06
RF0.regs\[5\]\[30\],76.9
net9,76.48
_0796_,76.32
_1923_,75.72
_2451_,74.76
net11,74.58
_1035_,74.56
clknet_leaf_24_clk,74.5
net20,74.1
RF0.regs\[5\]\[21\],74
_0940_,73.62
_0978_,73.53
_1957_,73.26
IM0.addr\[1\],72.9
net1,72.82
RF0.regs\[4\]\[6\],72.76
RF0.regs\[15\]\[11\],72.56
_0923_,72.42
_1118_,71.96
_1501_,71.9
net19,71.76
_1447_,71.39
clknet_leaf_29_clk,71.26
_1928_,70.6
_1117_,70.54
RF0.regs\[5\]\[7\],70.03
clknet_leaf_40_clk,69.68
clknet_leaf_17_clk,69.4
RF0.regs\[4\]\[7\],69.24
_1965_,69.02
net21,69
_2000_,68.54
_0892_,68.18
RF0.regs\[4\]\[12\],68.1
net67,67.74
_0800_,67.46
_1037_,67.45
_2487_,67.36
_0967_,67.2
net10,66.9
_0989_,66.87
RF0.regs\[25\]\[22\],66.865
_1291_,66.76
RF0.regs\[15\]\[0\],66.74
_1061_,66.65
net18,66.46
_2069_,66.15
RF0.regs\[15\]\[2\],65.7
net25,65.61
RF0.regs\[5\]\[19\],65.48
_0849_,65.12
_2386_,64.91
net22,64.36
_1413_,64.2
RF0.regs\[5\]\[3\],63.85
RF0.regs\[5\]\[11\],63.46
RF0.regs\[5\]\[27\],63.46
_1025_,63.27
_1962_,63.22
_0946_,63.12
_1952_,62.84
_2002_,62.76
disp.digits\[13\],62.74
_0895_,62.7
RF0.regs\[15\]\[22\],62.59
_2063_,62.46
RF0.regs\[10\]\[22\],62.37
_1089_,62.365
_0984_,62.16
_2395_,62.14
disp.digits\[12\],62.04
_0819_,61.87
_0996_,61.76
_1981_,61.74
_2422_,61.68
_0898_,61.46
clknet_leaf_27_clk,61.24
net12,61
net16,61
_1738_,60.7
_1747_,60.56
_0912_,60.18
RF0.regs\[5\]\[24\],59.98
RF0.regs\[5\]\[2\],59.9
RF0.regs\[0\]\[7\],59.74
RF0.regs\[4\]\[15\],58.88
_1059_,58.84
_1975_,58.78
_1461_,58.14
_1096_,57.94
clknet_leaf_9_clk,57.93
_1373_,57.76
clknet_leaf_14_clk,57.74
_0972_,57.64
_2008_,57.48
_2094_,57.2
RF0.regs\[5\]\[9\],57.13
RF0.regs\[4\]\[30\],57.04
clknet_leaf_44_clk,56.98
_0824_,56.92
_1017_,56.7
net17,56.48
_1785_,56.08
_1011_,55.92
RF0.regs\[10\]\[5\],55.74
_1765_,55.68
RF0.regs\[25\]\[0\],55.5
_1807_,55.5
RF0.regs\[15\]\[7\],55.31
RF0.regs\[15\]\[9\],55.02
RF0.regs\[15\]\[15\],54.82
clknet_leaf_2_clk,54.46
net14,54.18
clknet_leaf_25_clk,53.97
_1614_,53.9
_1898_,53.52
RF0.regs\[4\]\[14\],53.465
_1947_,53.32
_0792_,53.14
_0821_,52.74
_0922_,52.68
RF0.regs\[15\]\[19\],52.58
clknet_leaf_21_clk,52.42
net28,52.34
_0993_,52.25
_2059_,52.18
RF0.regs\[10\]\[18\],51.98
RF0.regs\[10\]\[16\],51.34
_1745_,51.1
_1002_,50.9
