net,length_um
clknet_1_0__leaf_clk,519.27
clknet_1_1__leaf_clk,453.35
_0605_,393.74
_2284_,356.59
_2280_,351.82
_0603_,325.97
_0617_,292.67
_0624_,292.525
_1090_,287.23
_0609_,285.76
_2246_,266.32
_0629_,264.355
_1101_,257.93
_1150_,253.245
_0771_,241.88
_0604_,235.06
_0616_,229.23
_0669_,229.04
_0512_,225.6
clk,215.19
_1623_,210.09
_1048_,209.84
_0618_,209.38
_2212_,208.03
_0640_,205.805
_0625_,205.47
_2253_,203.5
_0672_,202.28
_1648_,201.82
_0637_,200.94
_1085_,199.11
_0633_,198.85
_1052_,197.66
_0710_,197.38
_1014_,196.06
_2133_,194.75
_2269_,192.92
_2046_,191.72
_0647_,191.515
_2120_,189.7
_0668_,183.5
_2097_,180.95
_1091_,180.67
_2082_,179.4
_0667_,179.18
_2250_,177.94
_1002_,177.6
_1083_,177.09
_2206_,175.11
_0630_,173.97
_0759_,170.42
_1365_,170.42
_2169_,168.98
_2259_,166.36
_1647_,166.1
_2156_,165.84
_1042_,165.66
_1099_,165.08
_0654_,164.63
_1601_,164.14
_0626_,161.89
_1332_,161.585
_2024_,161.32
net41,160.73
_1080_,160.665
_1065_,159.175
_2192_,157.82
_0623_,156.88
_1638_,156.35
_2272_,156.32
_2020_,155.03
_1850_,154.88
_1433_,154.42
_1064_,154.16
_0662_,153.9
_0631_,153.29
_2282_,153.22
_2098_,152.9
_1842_,152.83
_1084_,152.025
_1066_,151.12
_0653_,149.68
_1073_,149.09
_0619_,149.01
_1075_,148.24
_2283_,147.38
_2059_,146.91
_1859_,146.8
_0658_,146.27
_2258_,146.25
_1994_,145.58
_1011_,145.03
_1000_,144.45
_1096_,143.84
_1316_,143.78
_1321_,143.67
_2109_,142.39
_1004_,141.92
_1845_,141.62
_1538_,141.16
clknet_leaf_7_clk,138.66
_2264_,138.24
_1166_,137.96
_2261_,137.82
_0674_,137.52
_0898_,137.14
_1857_,136.56
_1047_,135.68
_0909_,135.565
_0610_,134.58
_0673_,134.38
_1834_,134.32
clknet_leaf_9_clk,134.06
_2009_,133.48
_1853_,132.16
_1020_,131
_0676_,130.44
_1001_,130.38
_2035_,129.835
_2023_,128.49
_1151_,128.29
_1059_,128.19
_0602_,127.59
_1098_,126.82
_2011_,125.7
_2181_,125.68
_0611_,124.8
_0913_,123.86
_0622_,123.8
_0713_,122.12
_2278_,122.1
clknet_leaf_4_clk,121.88
clknet_leaf_1_clk,121.48
_1951_,121.28
_0627_,121.155
_1461_,120.86
_2270_,120.8
_1957_,120.245
clknet_leaf_25_clk,120.14
_2271_,119.46
net8,119.42
_1063_,119.36
_1074_,119.08
_2256_,118.98
_0809_,118.52
_0722_,118.24
_2018_,117.86
_1205_,117.55
_2134_,117.35
net9,116.73
_2095_,116.68
_1007_,115.99
_0816_,115.92
_0828_,115.77
clknet_leaf_22_clk,115.75
_1833_,115.74
_1975_,115.68
_0945_,115.62
_2277_,115.5
_2260_,114.9
_0664_,114.59
clknet_leaf_12_clk,114.58
_1432_,114.56
clknet_0_clk,113.99
_2145_,113.6
net32,113.58
_0845_,113.56
clknet_leaf_0_clk,113.34
_0937_,112.74
_1838_,111.56
clknet_leaf_19_clk,111.56
_1058_,111.365
_1348_,110.94
_1204_,110.83
_1268_,110.26
_2013_,109.06
_1123_,108.68
_0718_,108.43
_0969_,108
_0761_,107.92
_2060_,107.82
_2254_,107.64
_1956_,107.54
_1097_,106.72
_0838_,106.7
_0657_,106.4
_1010_,106.26
_0711_,106.18
_1006_,105.94
_1136_,105.84
_1057_,105.64
_0716_,105.495
_1953_,104.98
clknet_leaf_3_clk,104.1
_0634_,104
_1061_,103.9
_0727_,103.8
_0863_,103.56
_1054_,103.52
_0960_,103.3
_1068_,103
_0514_,102.42
clknet_leaf_24_clk,102.3
_2170_,101.59
_2266_,101.52
_1818_,101.02
_0730_,100.9
_2015_,100.88
_0765_,100.81
_1037_,100.8
_0613_,100.47
_2281_,100.42
clknet_leaf_2_clk,100.39
_0806_,100
_0851_,99.7
_2275_,98.37
_1796_,98.34
_1331_,98.28
_1835_,98.21
_1034_,98.01
_0891_,97.96
_2248_,97.81
_1062_,97.78
_0513_,97.74
_1135_,97.58
_1984_,97.18
_0663_,97.14
_0641_,96.82
_0650_,96.62
clknet_leaf_21_clk,95.98
_1051_,95.62
_0823_,95.35
RF0.regs\[10\]\[10\],95.2
clknet_leaf_13_clk,95.1
_1828_,94.9
_0799_,94.11
_0715_,94.105
_0615_,93.865
_1738_,93.78
_1240_,92.99
_0651_,92.94
_2286_,92.2
_1022_,92.02
_1039_,91.88
_0638_,91.66
_2007_,91.26
_0996_,90.74
_2071_,90.315
_1813_,90.24
RF0.regs\[10\]\[9\],89.92
_1134_,89.58
_1981_,89.44
RF0.regs\[10\]\[18\],89.35
_1454_,89.3
_0865_,89.07
IM0.addr\[2\],88.92
RF0.regs\[10\]\[16\],88.88
_1300_,88.68
_1308_,88.52
_1990_,88.48
_1016_,88.06
clknet_leaf_26_clk,88.06
_1993_,87.86
IM0.addr\[0\],87.65
_0732_,87.36
RF0.regs\[10\]\[5\],87.12
_1605_,86.76
_1049_,86.52
net10,86.49
_0671_,86.46
_1972_,86.4
_1959_,85.65
_1019_,85.12
_1041_,85.1
_2285_,84.44
_0723_,84.43
_0599_,84.42
_1023_,84.36
net14,84.36
_1230_,84.35
_2263_,84.32
_1095_,83.74
_2251_,83.72
_0652_,83.6
_0769_,83.12
_1119_,83
clknet_leaf_11_clk,82.6
_1141_,82.54
_0931_,82.48
_0675_,82.34
_1358_,82.23
_1997_,82.18
_1988_,82.04
_1968_,82.02
_1038_,82
_0606_,81.89
_0635_,81.795
RF0.regs\[25\]\[16\],81.66
_1076_,81.61
RF0.regs\[10\]\[15\],81.6
clknet_leaf_10_clk,81.565
_1030_,81.52
RF0.regs\[10\]\[17\],81.48
_0639_,81.02
_1168_,80.98
_0796_,80.94
RF0.regs\[10\]\[8\],80.86
RF0.regs\[10\]\[11\],80.84
_0789_,80.62
_2005_,80.46
_1044_,80.305
RF0.regs\[10\]\[14\],80.2
_1669_,80.18
_0915_,79.48
_1152_,79.335
_1235_,79.28
clknet_leaf_8_clk,78.81
_0608_,78.62
net5,78.62
_1112_,78.54
_2001_,78.52
RF0.regs\[10\]\[13\],78.34
_1028_,78.28
_0642_,78.18
RF0.regs\[25\]\[11\],77.71
_1035_,77.53
RF0.regs\[25\]\[10\],77.39
_1302_,77.32
_0829_,76.98
_0778_,76.81
_2255_,76.545
RF0.regs\[15\]\[3\],76.29
net4,76.06
clknet_leaf_5_clk,76.04
clknet_leaf_6_clk,75.59
_1124_,75.54
RF0.regs\[10\]\[12\],75.17
_0774_,75.1
_0636_,75.06
RF0.regs\[25\]\[20\],74.66
_1175_,74.58
RF0.regs\[25\]\[9\],74.41
_1180_,74.32
_1221_,74.14
_1868_,74.01
RF0.regs\[25\]\[5\],73.88
RF0.regs\[10\]\[3\],73.63
RF0.regs\[5\]\[16\],73.48
_0834_,73.4
RF0.regs\[0\]\[7\],72.94
_0971_,72.92
_1040_,72.74
RF0.regs\[10\]\[2\],72.63
RF0.regs\[25\]\[17\],72.605
RF0.regs\[25\]\[15\],72.44
_0880_,72.36
net30,72.22
RF0.regs\[10\]\[0\],72.14
_0970_,71.92
_1478_,71.66
_0784_,71.6
_1077_,71.42
_1765_,71.14
RF0.regs\[25\]\[8\],70.625
_1171_,70.47
_1902_,69.52
RF0.regs\[25\]\[12\],69.385
clknet_leaf_27_clk,68.82
_1122_,68.78
_1892_,68.68
_0731_,68.56
_0876_,68.46
_1965_,68.43
_2265_,68.2
_1167_,67.92
_0670_,67.86
_1409_,67.74
_1224_,67.57
_1588_,67.455
_1816_,66.96
_1789_,66.94
IM0.addr\[1\],66.93
_1273_,66.92
_1577_,66.9
RF0.regs\[10\]\[4\],66.86
_1824_,66.74
_0860_,66.7
_1425_,66.46
_1107_,66.37
_0656_,66.36
_0659_,66.31
_1199_,66.3
_1930_,66.14
_0703_,65.98
_0628_,65.665
_1350_,65.35
net3,65.22
_1569_,65.19
RF0.regs\[25\]\[13\],65.08
RF0.regs\[5\]\[27\],65.02
_1655_,64.84
net13,64.78
_1174_,64.66
_1003_,64.6
_1182_,64.56
RF0.regs\[10\]\[21\],64.345
_1616_,64.12
net27,63.98
net49,63.9
_1894_,63.8
_1155_,63.66
_1170_,63.58
_0866_,63.5
RF0.regs\[25\]\[18\],63.36
_0717_,63.28
_1109_,63.24
_1542_,63.08
_1440_,62.9
RF0.regs\[25\]\[14\],62.89
net17,62.86
_1033_,62.76
_0614_,62.7
_1561_,62.63
clknet_leaf_23_clk,62.34
_1026_,62.27
_1494_,62.26
_1792_,62.24
RF0.regs\[15\]\[0\],62.22
RF0.regs\[5\]\[23\],62.18
_0740_,62.14
_1094_,62.01
_1799_,61.62
_0701_,61.6
_0810_,61.38
_1549_,61.04
net6,61.02
_0735_,60.66
_1139_,60.34
RF0.regs\[25\]\[3\],60.12
_1532_,59.89
_1212_,59.78
_1544_,59.56
_0831_,59.34
_0783_,59.12
_1728_,58.94
RF0.regs\[25\]\[2\],58.92
_0742_,58.8
RF0.regs\[10\]\[19\],58.6
net7,58.54
_1637_,58.36
_1203_,58.32
_2273_,58.06
_1664_,58.01
RF0.regs\[5\]\[17\],58
RF0.regs\[25\]\[21\],57.92
_2276_,57.78
net29,57.72
_1138_,57.7
_1499_,57.68
RF0.regs\[15\]\[19\],57.58
_1194_,57.52
net28,57.46
_0725_,57.34
_1402_,57.34
RF0.regs\[5\]\[24\],56.52
_1459_,56.5
_1102_,56.38
RF0.regs\[10\]\[6\],56.24
RF0.regs\[10\]\[27\],56.16
RF0.regs\[10\]\[20\],55.99
_2247_,55.98
_0887_,55.95
_1438_,55.92
net16,55.88
net11,55.86
_0737_,55.72
_0788_,55.7
_1245_,55.64
net24,55.56
_1448_,55.42
net15,55.42
_1363_,55.34
_1036_,55.12
_1904_,55.12
_1154_,54.96
_0773_,54.82
_1697_,54.82
net23,54.58
_0768_,54.54
_0883_,54.5
_1403_,54.5
RF0.regs\[10\]\[24\],54.46
_1214_,54.38
_1729_,54.38
_1731_,54.04
_2262_,53.94
_1146_,53.88
RF0.regs\[25\]\[25\],53.825
_1087_,53.76
_1870_,53.43
_1246_,53.26
RF0.regs\[5\]\[18\],53.24
_0594_,53.23
_1177_,53.18
RF0.regs\[10\]\[25\],52.74
_1181_,52.64
_1466_,52.635
_1780_,52.54
_1266_,52.42
_1406_,52.42
_1934_,52.32
_1641_,52.28
_1352_,52.26
_0795_,52.1
_1581_,52.1
clknet_leaf_14_clk,52.04
_1291_,52.03
_0798_,51.92
_1693_,51.86
_1526_,51.83
_0600_,51.71
RF0.regs\[25\]\[19\],51.64
net18,51.52
_0777_,51.48
_1243_,50.62
_1523_,50.6
_1021_,50.5
_1299_,50.24
RF0.regs\[5\]\[14\],50.16
_1184_,50.16
_1680_,50.08
RF0.regs\[10\]\[31\],50.06
_1663_,50.04
RF0.regs\[15\]\[2\],49.98
_0695_,49.86
RF0.regs\[5\]\[29\],49.77
_0747_,49.74
_2217_,49.69
_1874_,49.435
_0699_,49.32
net19,49.32
_0697_,49.14
_1202_,49.11
_0714_,49.02
_1374_,48.9
clknet_leaf_20_clk,48.88
_1911_,48.86
_1770_,48.64
_1089_,48.62
_1260_,48.62
control,48.51
_1628_,48.5
_1777_,48.2
_1009_,47.92
_1525_,47.9
RF0.regs\[5\]\[21\],47.82
_1746_,47.76
_0963_,47.54
_1072_,47.5
_1262_,47.5
_1935_,47.45
_0734_,47.42
_1434_,47.42
_0724_,47.335
_0764_,47.32
_1301_,47.32
_1473_,47.3
_1916_,47.24
_0643_,47.22
_0992_,47.18
_1644_,47.14
_1396_,46.88
RF0.regs\[25\]\[24\],46.84
_1793_,46.82
_1164_,46.62
_1662_,46.5
_0712_,46.38
_1539_,46.34
_1878_,46.34
_0645_,46.32
_0959_,46.09
_1677_,45.7
RF0.regs\[25\]\[27\],45.625
_1773_,45.47
_0607_,45.46
_1537_,45.41
_1251_,45.38
_1734_,45.26
_2209_,45.06
_1717_,45.03
_1103_,45
_1829_,44.74
RF0.regs\[10\]\[7\],44.52
_0882_,44.5
_0729_,44.495
_1237_,44.32
RF0.regs\[0\]\[21\],44.28
_2279_,44.2
clknet_leaf_17_clk,43.96
_2240_,43.94
_1924_,43.8
_0760_,43.6
_1330_,43.38
_1804_,43.36
_1774_,43.14
_1622_,43.12
_1518_,43.04
_1802_,43.04
_0632_,43.03
_1784_,42.96
_1914_,42.96
RF0.regs\[10\]\[1\],42.83
reset,42.78
RF0.regs\[25\]\[6\],42.76
RF0.regs\[25\]\[4\],42.56
_1700_,42.52
net69,42.52
RF0.regs\[25\]\[7\],42.5
_1740_,42.28
_1305_,42.18
RF0.regs\[20\]\[13\],42.16
_0660_,42.03
_1356_,41.9
_1656_,41.82
_0598_,41.78
_1274_,41.76
_0920_,41.74
net45,41.74
_0748_,41.16
_1785_,41.16
_0589_,41.12
_1875_,41.12
_1216_,40.94
RF0.regs\[5\]\[11\],40.74
_1361_,40.62
net12,40.54
RF0.regs\[0\]\[6\],40.5
_1486_,40.42
_1754_,40.4
_1747_,40.36
_1652_,40.32
_1891_,40.105
_1635_,40.08
_1751_,40.06
_1624_,39.92
_0693_,39.86
_0706_,39.8
_1362_,39.7
_1517_,39.64
RF0.regs\[20\]\[16\],39.58
_1086_,39.56
_1200_,39.56
_1879_,39.52
RF0.regs\[5\]\[1\],39.445
_1724_,39.42
_0995_,39.32
_1613_,39.3
_1667_,39.3
_1292_,39.2
_1901_,39.16
_2257_,39.1
RF0.regs\[25\]\[23\],38.96
net26,38.82
RF0.regs\[20\]\[17\],38.73
_1263_,38.595
_1515_,38.56
RF0.regs\[25\]\[31\],38.44
_1327_,38.32
_1639_,38.1
_0850_,38.08
_1873_,38.08
RF0.regs\[10\]\[23\],37.98
_1743_,37.98
_1598_,37.92
_1890_,37.86
_1143_,37.85
RF0.regs\[5\]\[13\],37.84
_1467_,37.8
_1555_,37.74
RF0.regs\[5\]\[10\],37.68
_1692_,37.67
_1232_,37.58
_1567_,37.5
_1609_,37.48
_1807_,37.44
RF0.regs\[5\]\[19\],37.38
_0872_,37.16
_1346_,37.16
RF0.regs\[25\]\[30\],36.94
RF0.regs\[20\]\[12\],36.53
_1776_,36.5
_1207_,36.46
RF0.regs\[5\]\[15\],36.44
_1401_,36.44
_1923_,36.41
_1450_,36.38
_0593_,36.32
_1179_,36.28
_1741_,36.16
net35,36.14
net20,36.06
RF0.regs\[30\]\[16\],36.005
_1297_,35.92
_1630_,35.86
_1442_,35.58
net31,35.52
_1435_,35.44
_1926_,35.42
_1121_,35.39
_1513_,35.22
net1,35.18
_1722_,34.91
_1479_,34.84
_1490_,34.83
_1015_,34.82
RF0.regs\[0\]\[5\],34.74
RF0.regs\[15\]\[31\],34.7
_1929_,34.6
_1472_,34.58
_0944_,34.51
_0691_,34.24
_1910_,34.24
_1568_,34.16
_1252_,34.1
_1372_,34.08
_1269_,34.02
_1029_,34
_1559_,34
_1227_,33.93
_1420_,33.9
_1552_,33.88
RF0.regs\[0\]\[22\],33.64
_2268_,33.6
_0815_,33.54
RF0.regs\[25\]\[29\],33.515
RF0.regs\[5\]\[5\],33.21
IM0.addr\[9\],33.12
_1657_,33.04
_1897_,33.02
_2245_,33
_1872_,32.96
_1481_,32.9
_1565_,32.88
_1899_,32.88
_1633_,32.85
_1597_,32.76
_0948_,32.7
RF0.regs\[20\]\[15\],32.62
_2214_,32.58
_1368_,32.56
RF0.regs\[15\]\[10\],32.5
RF0.regs\[5\]\[28\],32.47
_1737_,32.4
net39,32.4
_1323_,32.2
_1391_,32.18
_1506_,32.18
_1713_,32.18
net2,32.18
_0677_,32.04
_1186_,32.04
_1939_,32.02
RF0.regs\[30\]\[14\],31.965
_1881_,31.92
_1714_,31.82
_1173_,31.76
RF0.regs\[25\]\[0\],31.67
RF0.regs\[5\]\[30\],31.6
_0532_,31.52
_1336_,31.5
_1078_,31.44
RF0.regs\[10\]\[29\],31.4
RF0.regs\[5\]\[12\],31.36
_1157_,31.34
_1547_,31.34
_1419_,31.2
RF0.regs\[5\]\[20\],31
_0520_,30.86
_1551_,30.62
_0927_,30.54
_2236_,30.54
RF0.regs\[15\]\[8\],30.38
_1385_,30.28
_1527_,30.2
_1869_,30.2
RF0.regs\[5\]\[9\],30.1
_1111_,30
_1620_,29.86
_1913_,29.86
_1012_,29.78
_1387_,29.74
_0733_,29.72
_1100_,29.72
RF0.regs\[10\]\[30\],29.66
RF0.regs\[30\]\[15\],29.505
_1295_,29.46
_1429_,29.36
_1534_,29.28
_1116_,29.26
_1257_,28.995
_1360_,28.7
_1705_,28.66
_1367_,28.62
_2218_,28.6
_1287_,28.52
_0800_,28.48
_1452_,28.38
_1318_,28.32
_1519_,28.3
_1566_,28.26
_1284_,28.2
_1144_,28.14
_1659_,28.02
RF0.regs\[5\]\[31\],27.96
_1768_,27.96
clknet_leaf_16_clk,27.86
_1557_,27.82
_1421_,27.78
_1428_,27.76
_2223_,27.76
_0666_,27.74
_0680_,27.66
RF0.regs\[25\]\[26\],27.36
_2216_,27.34
RF0.regs\[30\]\[12\],27.185
_1699_,27.18
RF0.regs\[15\]\[25\],27.1
RF0.regs\[15\]\[9\],27.06
_1404_,27.06
_1341_,26.96
_1786_,26.96
net21,26.94
_0854_,26.88
_0936_,26.84
_0525_,26.81
_1159_,26.78
_0529_,26.62
_1053_,26.6
_1337_,26.58
_1514_,26.56
_1296_,26.52
_1783_,26.43
RF0.regs\[15\]\[24\],26.42
_1333_,26.42
_1229_,26.26
_0890_,26.225
_1017_,26.22
_1636_,26.22
RF0.regs\[0\]\[24\],26.18
_0844_,26.02
_0912_,26
_1675_,26
_0952_,25.98
_1325_,25.94
_1496_,25.94
_2239_,25.94
_0519_,25.93
RF0.regs\[15\]\[1\],25.92
_0894_,25.8
_1489_,25.8
RF0.regs\[20\]\[14\],25.74
_1918_,25.72
_0527_,25.66
IM0.addr\[18\],25.64
_0661_,25.555
IM0.addr\[21\],25.34
_1329_,25.34
net25,25.34
_1117_,25.32
IM0.addr\[15\],25.235
_1418_,25.22
_1708_,25.14
_1223_,25.08
IM0.addr\[26\],25.06
_1067_,25.06
_1533_,25.06
_2231_,25.04
IM0.addr\[14\],24.92
_1342_,24.825
_0523_,24.82
_1256_,24.76
_1426_,24.72
_0708_,24.7
_1511_,24.68
_2249_,24.68
_0870_,24.66
_0648_,24.65
_1694_,24.6
_1343_,24.59
_0930_,24.56
_1254_,24.56
_0822_,24.54
_1826_,24.46
RF0.regs\[30\]\[5\],24.445
_0840_,24.44
RF0.regs\[0\]\[25\],24.4
_0596_,24.34
_1882_,24.34
_0743_,24.14
_1439_,24.065
_1787_,24.06
RF0.regs\[15\]\[11\],24.045
_1949_,24.02
_2226_,24.02
RF0.regs\[5\]\[25\],24
RF0.regs\[15\]\[5\],23.94
_0802_,23.9
_1574_,23.9
_0518_,23.88
_0817_,23.88
_0530_,23.86
clknet_leaf_18_clk,23.84
_0700_,23.76
net22,23.76
_0521_,23.73
RF0.regs\[15\]\[23\],23.7
_1698_,23.54
_1711_,23.5
_1943_,23.46
_1493_,23.34
RF0.regs\[30\]\[13\],23.305
RF0.regs\[5\]\[26\],23.28
_1293_,23.255
net34,23.24
_0954_,23.12
RF0.regs\[10\]\[22\],22.92
_0515_,22.88
RF0.regs\[30\]\[2\],22.82
_1998_,22.82
_0694_,22.78
IM0.addr\[22\],22.7
RF0.regs\[30\]\[17\],22.685
RF0.regs\[15\]\[16\],22.5
_0533_,22.48
RF0.regs\[15\]\[30\],22.34
_0791_,22.32
RF0.regs\[30\]\[29\],22.305
_1627_,22.28
_1919_,22.28
RF0.regs\[0\]\[4\],22.24
_1585_,22.24
_0745_,22.2
_1208_,22.19
_0698_,22.08
RF0.regs\[5\]\[4\],22.06
_0910_,22.06
_1864_,21.92
_0531_,21.88
_0833_,21.82
IM0.addr\[6\],21.72
RF0.regs\[15\]\[4\],21.715
_0719_,21.66
_0837_,21.66
_1437_,21.66
RF0.regs\[30\]\[24\],21.645
_0827_,21.54
_1762_,21.54
_1399_,21.52
_1156_,21.48
_0942_,21.39
RF0.regs\[30\]\[18\],21.385
_0683_,21.38
_0968_,21.24
RF0.regs\[0\]\[26\],21.2
_1353_,21.18
_0685_,21.14
_0989_,21.125
_1759_,21.12
_0750_,21.095
_1185_,20.78
_0819_,20.72
_1749_,20.71
_2213_,20.66
_0528_,20.64
_0983_,20.64
RF0.regs\[25\]\[22\],20.62
IM0.addr\[24\],20.46
_2229_,20.435
IM0.addr\[28\],20.42
_1345_,20.4
_1487_,20.4
_1279_,20.36
_1725_,20.36
_1176_,20.32
RF0.regs\[15\]\[6\],20.305
net33,20.24
_0908_,20.16
_1546_,20.12
_1217_,20.06
_1455_,19.95
RF0.regs\[15\]\[17\],19.935
_0524_,19.9
RF0.regs\[20\]\[2\],19.88
_1359_,19.88
_0918_,19.82
RF0.regs\[15\]\[15\],19.7
RF0.regs\[30\]\[31\],19.625
_1447_,19.62
_1405_,19.555
_1445_,19.54
IM0.addr\[12\],19.52
_2221_,19.5
_1735_,19.44
_1896_,19.44
_1941_,19.4
_1629_,19.38
RF0.regs\[5\]\[3\],19.36
_0906_,19.36
_0655_,19.34
RF0.regs\[20\]\[6\],19.32
RF0.regs\[25\]\[28\],19.32
_1883_,19.24
_0517_,19.195
_1573_,19.07
_1422_,18.96
RF0.regs\[30\]\[3\],18.945
_1312_,18.93
RF0.regs\[0\]\[20\],18.9
_1611_,18.84
_1430_,18.825
_1120_,18.82
RF0.regs\[15\]\[13\],18.8
IM0.addr\[4\],18.78
_0741_,18.76
_1468_,18.76
RF0.regs\[15\]\[29\],18.7
_0903_,18.7
RF0.regs\[20\]\[5\],18.66
_1317_,18.64
_1397_,18.6
_0957_,18.58
_1444_,18.54
_0535_,18.4
_1281_,18.4
_1861_,18.32
_1376_,18.28
_0993_,18.26
RF0.regs\[30\]\[6\],18.24
_1936_,18.14
_1684_,18.12
_1862_,18.04
IM0.addr\[3\],17.98
RF0.regs\[15\]\[12\],17.98
_1592_,17.96
RF0.regs\[15\]\[20\],17.945
_0842_,17.94
_1625_,17.93
_2244_,17.93
_1106_,17.84
RF0.regs\[10\]\[28\],17.82
_0526_,17.82
_1772_,17.81
_1219_,17.8
_1721_,17.8
_1265_,17.78
_1730_,17.74
_1719_,17.66
_0961_,17.655
_1820_,17.64
IM0.addr\[10\],17.62
_1877_,17.56
RF0.regs\[0\]\[23\],17.44
_1761_,17.36
_0979_,17.31
_1218_,17.3
RF0.regs\[0\]\[0\],17.22
_1082_,17.14
_1672_,17.14
_1788_,17.14
_1244_,17.13
_1277_,17.1
_1118_,17.08
_1285_,17.04
_0974_,16.96
_0522_,16.94
RF0.regs\[10\]\[26\],16.88
RF0.regs\[15\]\[27\],16.88
_0728_,16.82
_1907_,16.8
_1436_,16.78
_1945_,16.78
IM0.addr\[16\],16.7
RF0.regs\[0\]\[19\],16.7
_1501_,16.66
_1046_,16.64
_1465_,16.6
RF0.regs\[30\]\[0\],16.485
_1198_,16.42
_0916_,16.4
_0976_,16.38
RF0.regs\[30\]\[19\],16.32
_1416_,16.32
_1707_,16.32
_1584_,16.315
_1056_,16.3
_1464_,16.24
_0973_,16.2
_1414_,16.2
_1201_,16.1
_1977_,16.04
RF0.regs\[30\]\[27\],16.025
_1760_,15.98
_2243_,15.96
_1545_,15.93
RF0.regs\[20\]\[4\],15.92
_1744_,15.92
_1309_,15.9
_1779_,15.86
_1795_,15.8
_0738_,15.78
_0991_,15.74
_1720_,15.74
_1276_,15.68
_1703_,15.68
IM0.addr\[27\],15.58
_1925_,15.56
_1457_,15.52
_0690_,15.48
_1025_,15.44
_1032_,15.4
_2252_,15.4
_1572_,15.36
_1594_,15.36
RF0.regs\[5\]\[22\],15.34
_1503_,15.305
_1582_,15.3
_1832_,15.24
_0590_,15.22
RF0.regs\[5\]\[8\],15.16
_0503_,15.16
_1782_,15.16
RF0.regs\[0\]\[27\],15.14
_0258_,15.14
_1031_,15.14
RF0.regs\[0\]\[1\],15
_0804_,14.98
_0899_,14.96
_0539_,14.94
RF0.regs\[15\]\[21\],14.9
_0597_,14.88
_1948_,14.88
_1502_,14.86
net44,14.84
net68,14.84
RF0.regs\[25\]\[1\],14.78
_1070_,14.76
_1247_,14.76
_0704_,14.74
_1005_,14.72
_1258_,14.72
_0621_,14.68
_1946_,14.68
RF0.regs\[5\]\[7\],14.64
_1392_,14.62
_0886_,14.6
_0751_,14.58
_0892_,14.56
_1848_,14.56
_2184_,14.56
RF0.regs\[5\]\[2\],14.54
_0873_,14.54
_1187_,14.54
RF0.regs\[30\]\[4\],14.52
RF0.regs\[15\]\[26\],14.495
RF0.regs\[15\]\[7\],14.47
RF0.regs\[30\]\[10\],14.46
RF0.regs\[15\]\[14\],14.39
IM0.addr\[8\],14.38
_1798_,14.38
IM0.addr\[29\],14.37
_1460_,14.35
_0988_,14.3
_1543_,14.3
_1602_,14.28
IM0.addr\[19\],14.275
_1889_,14.24
_1149_,14.18
_1898_,14.165
_1314_,14.12
_0966_,14.1
_0946_,14.08
_1593_,14.06
RF0.regs\[0\]\[2\],14.04
_1370_,14.04
RF0.regs\[30\]\[11\],13.965
RF0.regs\[20\]\[11\],13.96
_0781_,13.96
_1978_,13.92
_1550_,13.88
_0986_,13.855
_1189_,13.84
_1417_,13.84
_1794_,13.84
_1685_,13.82
RF0.regs\[15\]\[18\],13.78
_1183_,13.76
_1315_,13.72
_1938_,13.72
_0487_,13.68
_1113_,13.68
_1162_,13.68
_1304_,13.68
_1043_,13.66
_1222_,13.66
RF0.regs\[0\]\[10\],13.64
_1560_,13.64
net56,13.6
_1922_,13.58
_1482_,13.575
_1018_,13.54
_0864_,13.52
_0938_,13.455
_1683_,13.38
_2129_,13.34
RF0.regs\[15\]\[22\],13.315
_1241_,13.28
_1640_,13.28
_0770_,13.26
_0846_,13.26
_1485_,13.26
_1508_,13.26
_0757_,13.24
_0922_,13.24
_1606_,13.22
RF0.regs\[30\]\[30\],13.205
RF0.regs\[30\]\[20\],13.145
