net,length_um
_0337_,13.08
_1583_,13.08
net77,13.08
_1272_,13.06
_1520_,13.04
RF0.regs\[15\]\[28\],13.02
_1209_,13.005
_0933_,13
_1668_,13
_1446_,12.98
_1952_,12.96
_1307_,12.94
_0889_,12.92
_1821_,12.9
_0775_,12.88
_1104_,12.88
_0956_,12.82
_1411_,12.82
_0801_,12.8
_1140_,12.785
_0762_,12.78
_1069_,12.725
_1210_,12.67
_0862_,12.665
_0812_,12.66
_0926_,12.66
_2118_,12.62
_0807_,12.58
_1548_,12.58
_1995_,12.58
IM0.addr\[20\],12.52
_0855_,12.52
_0736_,12.5
_1280_,12.5
_1193_,12.48
_1153_,12.42
_1529_,12.36
RF0.regs\[0\]\[18\],12.34
_0905_,12.34
_0752_,12.32
_1313_,12.32
_0068_,12.29
_0940_,12.26
_1311_,12.26
_1564_,12.26
_0696_,12.24
RF0.regs\[20\]\[30\],12.22
_0279_,12.22
_0902_,12.22
RF0.regs\[0\]\[3\],12.2
_1903_,12.18
_1060_,12.16
_1571_,12.16
RF0.regs\[30\]\[28\],12.145
_0678_,12.12
_0803_,12.12
_1334_,12.12
_0868_,12.1
_0754_,12.08
_0756_,12.08
_1618_,12.04
_1690_,12.04
_2091_,12.04
_1521_,12.02
_1456_,11.96
_0857_,11.9
_0720_,11.88
_0847_,11.84
_1192_,11.84
net40,11.84
_0785_,11.8
_0061_,11.79
IM0.addr\[25\],11.76
_1286_,11.74
_0177_,11.71
IM0.addr\[17\],11.66
_0721_,11.64
_0875_,11.58
_2195_,11.58
